Date,Sensex,Bonds,Nifty 50,Gold,USD_INR
01-06-2018,-0.002854039,-0.009743136,0.002039331,0.040015943,-0.01504748
01-05-2018,-0.004586894,-0.007538973,0.000298058,0.011113666,-0.014387422
01-04-2018,-0.062333833,-0.047508691,-0.058257716,0.006140085,-0.020165538
01-03-2018,0.036864078,0.044336307,0.037488753,-0.007082046,0.001382276
01-02-2018,0.052099752,-0.038312193,0.050972805,0.019121329,-0.025460123
01-01-2018,-0.053056831,-0.013997308,-0.045068328,-0.025165662,0.004564054
01-12-2017,-0.02664605,-0.036582037,-0.028882221,-0.024898801,0.010183299
01-11-2017,0.00192402,-0.027769906,0.010634085,-0.00485627,0.004032258
01-10-2017,-0.058091785,-0.029000291,-0.052896384,0.011255411,0.008727217
01-09-2017,0.01428123,-0.020711391,0.013209243,0.029109589,-0.021055049
01-08-2017,0.024722278,-0.009195402,0.016051785,-0.036908183,0.003754106
01-07-2017,-0.049003012,0.007115236,-0.055194451,-0.024422805,0.006934705
01-06-2017,0.007250269,0.023037936,0.01053997,0.026644128,-0.001702391
01-05-2017,-0.039408203,0.045038283,-0.032968689,-0.005566881,-0.003643128
01-04-2017,-0.009957083,-0.043528229,-0.014004654,-0.013482615,0.009024428
01-03-2017,-0.02961395,0.031841394,-0.032064314,0.002157928,0.028527371
01-02-2017,-0.037830007,-0.067394469,-0.035846209,-0.03389425,0.011844078
01-01-2017,-0.037225249,0.016388325,-0.043860161,-0.049281823,0.00674174
01-12-2016,0.000989617,-0.041308354,0.004727699,0.019275853,0.009463537
01-11-2016,0.047927404,0.102835175,0.048781081,0.084504643,-0.027891176
01-10-2016,-0.002300377,0.01060276,-0.00168682,0.034561307,-0.001934758
01-09-2016,0.021036777,0.021845358,0.020328295,-0.00432769,0.006266342
01-08-2016,-0.014069577,0.00745429,-0.016810453,0.035153271,-0.004972895
01-07-2016,-0.03750696,0.039787798,-0.040603114,-0.02718232,0.012952124
01-06-2016,-0.012287535,0.003088077,-0.01540225,-0.078070574,-0.004356007
01-05-2016,-0.03979832,-0.004818632,-0.038026495,0.059958932,-0.01166684
01-04-2016,-0.010339514,0.003227976,-0.014191444,-0.042541651,-0.002484379
01-03-2016,-0.092331818,0.021986862,-0.097093714,-0.000971188,0.029403774
01-02-2016,0.081240327,0.020464384,0.082509786,-0.095593001,-0.004838852
01-01-2016,0.05013331,-0.002699576,0.050611155,-0.05034038,-0.024606589
01-12-2015,0.001077054,0.003609178,-0.001396868,0.004810413,0.003836974
01-11-2015,0.019550465,-0.018751605,0.016451908,0.071435276,-0.015635346
01-10-2015,-0.018831947,-0.013219895,-0.014493293,-0.022954267,0.001437023
01-09-2015,0.004903874,0.032497679,0.002818,0.015512912,0.013662662
01-08-2015,0.069682446,0.00282631,0.070446477,-0.033024283,-0.036504925
01-07-2015,-0.011870362,0.007045862,-0.019260857,0.070039266,-0.006002063
01-06-2015,0.001713772,-0.005851673,0.007785147,0.015360983,0.002185741
01-05-2015,-0.029363126,0.005758157,-0.029898087,-0.006219533,-0.003342068
01-04-2015,0.03502903,-0.015521628,0.037829249,0.00067659,-0.019505668
01-03-2015,0.050219458,-0.001809253,0.048386527,0.025270453,-0.010147557
01-02-2015,-0.006081093,-0.004272398,-0.01044165,0.054488501,0.005855732
01-01-2015,-0.057688822,0.021323625,-0.059735041,-0.07434334,0.01644896
01-12-2014,0.043439825,0.029535328,0.036890145,-0.0072629,-0.01324766
01-11-2014,-0.028861793,0.023618153,-0.030978372,-0.003317737,-0.012943163
01-10-2014,-0.044330996,0.028146895,-0.042945375,0.034141345,0.008714774
01-09-2014,0.000285387,0.00563976,-0.001312023,0.062561902,-0.022930965
01-08-2014,-0.027897625,0.018576937,-0.029298434,-0.003573093,0.00074374
01-07-2014,-0.018582373,0.002982335,-0.01423983,0.030558154,-0.008340215
01-06-2014,-0.047078396,-0.011322049,-0.050109376,-0.057488654,-0.014405862
01-05-2014,-0.074307913,0.021168305,-0.073797191,0.040048154,0.019601217
,,,,,
